name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07370537519454956, diff: 2318.276123046875, norm: 31453.283203125
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.06758306175470352, diff: 3639.339599609375, norm: 53849.875
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39675775170326233, diff: 64659.265625, norm: 162969.125
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.08354844897985458, diff: 8549.7529296875, norm: 102332.875
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.06753048300743103, diff: 21873.853515625, norm: 323910.8125
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07806120067834854, diff: 4779.3984375, norm: 61226.296875
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.0763307586312294, diff: 2130.98681640625, norm: 27917.798828125
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07672234624624252, diff: 3409.17919921875, norm: 44435.28515625
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39717715978622437, diff: 62909.4609375, norm: 158391.4375
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.08558880537748337, diff: 11523.6767578125, norm: 134640.0
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.0696093887090683, diff: 24801.076171875, norm: 356289.25
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07326371967792511, diff: 5349.40087890625, norm: 73015.6875
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07178553193807602, diff: 2219.2958984375, norm: 30915.64453125
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.06811913102865219, diff: 3484.070556640625, norm: 51146.7265625
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3969804346561432, diff: 61997.421875, norm: 156172.484375
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06731848418712616, diff: 17366.404296875, norm: 257973.78125
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.06783498823642731, diff: 24666.900390625, norm: 363630.9375
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07077374309301376, diff: 6615.4765625, norm: 93473.6015625
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.06881998479366302, diff: 2802.278076171875, norm: 40718.95703125
name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.06941954791545868, diff: 3857.978271484375, norm: 55574.80859375
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3967738449573517, diff: 62870.0703125, norm: 158453.15625
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06743525713682175, diff: 17004.8046875, norm: 252164.90625
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.06744985282421112, diff: 24563.2421875, norm: 364170.4375
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07409010082483292, diff: 5275.4287109375, norm: 71202.8828125
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.06758863478899002, diff: 2108.858642578125, norm: 31201.37890625
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07161659002304077, diff: 3278.124267578125, norm: 45773.25390625
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39721518754959106, diff: 61799.609375, norm: 155582.1875
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06967499107122421, diff: 19492.517578125, norm: 279763.46875
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.06939362734556198, diff: 25824.15234375, norm: 372140.09375
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07659102231264114, diff: 5696.3701171875, norm: 74373.859375
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07319718599319458, diff: 2378.5546875, norm: 32495.1640625
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07416107505559921, diff: 4242.08203125, norm: 57200.92578125
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.39746078848838806, diff: 62668.23046875, norm: 157671.484375
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.06844644993543625, diff: 22636.265625, norm: 330714.96875
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.06911153346300125, diff: 25983.814453125, norm: 375969.28125
name: model.layers.13.self_attn.q_proj.weight, type: torch.int8, ratio: 0.07690829783678055, diff: 5621.232421875, norm: 73090.0625
name: model.layers.13.self_attn.k_proj.weight, type: torch.int8, ratio: 0.07736684381961823, diff: 2468.67578125, norm: 31908.705078125
name: model.layers.13.self_attn.v_proj.weight, type: torch.int8, ratio: 0.07053866982460022, diff: 3726.44140625, norm: 52828.34765625
