name: model.layers.57.post_attention_layernorm.weight, type: torch.float16, ratio: 7.371493120444939e-05, diff: 0.0007381439208984375, norm: 10.013492584228516
name: model.layers.58.input_layernorm.weight, type: torch.float16, ratio: 0.0009672617306932807, diff: 0.008760977536439896, norm: 9.057504653930664
name: model.layers.58.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005761121865361929, diff: 0.005785026587545872, norm: 10.04149341583252
name: model.layers.59.input_layernorm.weight, type: torch.float16, ratio: 0.00016512104775756598, diff: 0.0015890904469415545, norm: 9.623790740966797
name: model.layers.59.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00022631791944149882, diff: 0.002355139469727874, norm: 10.406332015991211
name: model.layers.60.input_layernorm.weight, type: torch.float16, ratio: 0.00020288552332203835, diff: 0.0019850286189466715, norm: 9.78398323059082
name: model.layers.60.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00015831556811463088, diff: 0.0016858254093676805, norm: 10.648512840270996
name: model.layers.61.input_layernorm.weight, type: torch.float16, ratio: 0.0005629491060972214, diff: 0.005578109994530678, norm: 9.90872859954834
name: model.layers.61.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00015934252587612718, diff: 0.0016926825046539307, norm: 10.622917175292969
name: model.layers.62.input_layernorm.weight, type: torch.float16, ratio: 0.0037130487617105246, diff: 0.03952071815729141, norm: 10.64373779296875
name: model.layers.62.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00023481524840462953, diff: 0.0027301108930259943, norm: 11.626633644104004
name: model.layers.63.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.998443603515625
name: model.layers.63.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 12.302824974060059
name: model.layers.0.self_attn.q_proj.weight, type: torch.int8, ratio: 0.017443224787712097, diff: 1770.100830078125, norm: 101477.84375
name: model.layers.0.self_attn.k_proj.weight, type: torch.int8, ratio: 0.015008475631475449, diff: 801.64892578125, norm: 53413.08203125
name: model.layers.0.self_attn.v_proj.weight, type: torch.int8, ratio: 0.013062986545264721, diff: 873.6658325195312, norm: 66881.015625
name: model.layers.0.self_attn.o_proj.weight, type: torch.int8, ratio: 0.014741686172783375, diff: 2022.216552734375, norm: 137176.75
name: model.layers.0.mlp.gate_proj.weight, type: torch.int8, ratio: 0.025842446833848953, diff: 5251.81494140625, norm: 203224.375
name: model.layers.0.mlp.up_proj.weight, type: torch.int8, ratio: 0.02348233200609684, diff: 5274.859375, norm: 224630.984375
name: model.layers.1.self_attn.q_proj.weight, type: torch.int8, ratio: 0.051759324967861176, diff: 1294.679931640625, norm: 25013.462890625
name: model.layers.1.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04502424597740173, diff: 660.602783203125, norm: 14672.15625
name: model.layers.1.self_attn.v_proj.weight, type: torch.int8, ratio: 0.03529869765043259, diff: 859.28515625, norm: 24343.25390625
name: model.layers.1.self_attn.o_proj.weight, type: torch.int8, ratio: 0.016995493322610855, diff: 2293.44189453125, norm: 134944.125
name: model.layers.1.mlp.gate_proj.weight, type: torch.int8, ratio: 0.055423084646463394, diff: 2889.819091796875, norm: 52141.07421875
name: model.layers.1.mlp.up_proj.weight, type: torch.int8, ratio: 0.05287793651223183, diff: 3594.437744140625, norm: 67976.1328125
name: model.layers.2.self_attn.q_proj.weight, type: torch.int8, ratio: 0.05170561000704765, diff: 1741.9173583984375, norm: 33689.13671875
name: model.layers.2.self_attn.k_proj.weight, type: torch.int8, ratio: 0.051684945821762085, diff: 798.1397094726562, norm: 15442.40234375
name: model.layers.2.self_attn.v_proj.weight, type: torch.int8, ratio: 0.026050209999084473, diff: 883.0469970703125, norm: 33897.8828125
name: model.layers.2.self_attn.o_proj.weight, type: torch.int8, ratio: 0.015335574746131897, diff: 2258.1396484375, norm: 147248.453125
name: model.layers.2.mlp.gate_proj.weight, type: torch.int8, ratio: 0.048302024602890015, diff: 3294.697998046875, norm: 68210.3515625
name: model.layers.2.mlp.up_proj.weight, type: torch.int8, ratio: 0.04884203523397446, diff: 4561.9462890625, norm: 93402.0546875
name: model.layers.3.self_attn.q_proj.weight, type: torch.int8, ratio: 0.03933119773864746, diff: 1974.2882080078125, norm: 50196.4921875
name: model.layers.3.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04284031689167023, diff: 887.3065795898438, norm: 20711.951171875
name: model.layers.3.self_attn.v_proj.weight, type: torch.int8, ratio: 0.025834182277321815, diff: 920.069580078125, norm: 35614.42578125
name: model.layers.3.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01470617763698101, diff: 2245.447021484375, norm: 152687.328125
name: model.layers.3.mlp.gate_proj.weight, type: torch.int8, ratio: 0.04511938989162445, diff: 3741.16259765625, norm: 82916.9609375
name: model.layers.3.mlp.up_proj.weight, type: torch.int8, ratio: 0.03636127710342407, diff: 4689.88037109375, norm: 128980.078125
name: model.layers.4.self_attn.q_proj.weight, type: torch.int8, ratio: 0.03905852884054184, diff: 2001.6995849609375, norm: 51248.71875
name: model.layers.4.self_attn.k_proj.weight, type: torch.int8, ratio: 0.04037947952747345, diff: 894.5037841796875, norm: 22152.435546875
name: model.layers.4.self_attn.v_proj.weight, type: torch.int8, ratio: 0.02332315780222416, diff: 913.6443481445312, norm: 39173.26953125
name: model.layers.4.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013645689934492111, diff: 2148.569580078125, norm: 157454.078125
name: model.layers.4.mlp.gate_proj.weight, type: torch.int8, ratio: 0.0367504358291626, diff: 3982.746826171875, norm: 108372.7734375
name: model.layers.4.mlp.up_proj.weight, type: torch.int8, ratio: 0.027920790016651154, diff: 4671.3955078125, norm: 167308.859375
name: model.layers.5.self_attn.q_proj.weight, type: torch.int8, ratio: 0.029668835923075676, diff: 2012.9188232421875, norm: 67846.234375
name: model.layers.5.self_attn.k_proj.weight, type: torch.int8, ratio: 0.029839467257261276, diff: 899.1746215820312, norm: 30133.736328125
name: model.layers.5.self_attn.v_proj.weight, type: torch.int8, ratio: 0.022696692496538162, diff: 911.9122924804688, norm: 40178.203125
name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013206389732658863, diff: 2141.05029296875, norm: 162122.296875
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03891798481345177, diff: 4291.5791015625, norm: 110272.3828125
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.021404065191745758, diff: 4855.6708984375, norm: 226857.40625
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.03140911087393761, diff: 2014.8123779296875, norm: 64147.3828125
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.030711889266967773, diff: 900.9378662109375, norm: 29335.150390625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019440732896327972, diff: 921.6284790039062, norm: 47407.0859375
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011717687360942364, diff: 1882.4176025390625, norm: 160647.53125
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.05194638669490814, diff: 4234.7822265625, norm: 81522.171875
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.01977415755391121, diff: 4751.26025390625, norm: 240276.234375
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.027755528688430786, diff: 1981.8148193359375, norm: 71402.5234375
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.028157759457826614, diff: 885.6539916992188, norm: 31453.283203125
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016934262588620186, diff: 911.9078979492188, norm: 53849.875
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012077213265001774, diff: 1968.212890625, norm: 162969.125
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.04399321600794792, diff: 4501.9521484375, norm: 102332.875
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.014823404140770435, diff: 4801.4609375, norm: 323910.8125
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.03171585127711296, diff: 1941.84423828125, norm: 61226.296875
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.03104882687330246, diff: 866.8148803710938, norm: 27917.798828125
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019989274442195892, diff: 888.2291259765625, norm: 44435.28515625
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012795113027095795, diff: 2026.6363525390625, norm: 158391.4375
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03326071798801422, diff: 4478.22314453125, norm: 134640.0
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.013498926535248756, diff: 4809.5224609375, norm: 356289.25
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.026468047872185707, diff: 1932.582763671875, norm: 73015.6875
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.027870425954461098, diff: 861.6322021484375, norm: 30915.64453125
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01733855903148651, diff: 886.810546875, norm: 51146.7265625
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013149983249604702, diff: 2053.66552734375, norm: 156172.484375
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.017785541713237762, diff: 4588.20361328125, norm: 257973.78125
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.013184670358896255, diff: 4794.35400390625, norm: 363630.9375
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020697956904768944, diff: 1934.712646484375, norm: 93473.6015625
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.0212397538125515, diff: 864.8606567382812, norm: 40718.95703125
name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.015957588329911232, diff: 886.8399047851562, norm: 55574.80859375
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013316666707396507, diff: 2110.06787109375, norm: 158453.15625
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.018032105639576912, diff: 4547.064453125, norm: 252164.90625
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.013079345226287842, diff: 4763.11083984375, norm: 364170.4375
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.026774127036333084, diff: 1906.39501953125, norm: 71202.8828125
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02731318213045597, diff: 852.2089233398438, norm: 31201.37890625
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019038069993257523, diff: 871.4344482421875, norm: 45773.25390625
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01371315959841013, diff: 2133.5234375, norm: 155582.1875
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.016443561762571335, diff: 4600.3076171875, norm: 279763.46875
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.012832069769501686, diff: 4775.32763671875, norm: 372140.09375
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.025657430291175842, diff: 1908.2420654296875, norm: 74373.859375
